,0,1
66,Sanji,"Não interessa se um milhão de pessoas te julgarem, eu vou sempre acreditar nas lágrimas de uma mulher!!!"
67,Sengoku,Não tente encontrar uma justificativa para o amor de alguém!
68,Zeff,"Homens não podem chutar mulheres, é questão de bom senso. Já era assim quando viviamos com dinossauros!"
69,Gol D. Roger,"Eu não vou morrer, parceiro."
70,Jinbe,Um homem que quer fazer parte da tripulação do próximo Rei dos Piratas não pode temer um mero Yonkou.
71,Monkey D. Luffy,"Um bom homem não desiste de seus bons sonhos nem que o navio afunde, sempre irei lutar para cumpri-los!"
72,Trafalgar D. Water Law,"Se passaram dois anos desde a Guerra dos Melhores, alguém conquistou alguma coisa? Tudo o que você fez foi ficar quieto, tudo o que o Barba Branca fez foi encerrar um Era! Os Quartéis Generais da Marinha reuniram novas forças. Ninguém tomou uma atitude! É como se todos estivessem esperando e se preparando para alguma coisa, e aquela guerra foi apenas o começo! Você sempre me disse que a ""Nova Era"" dos mais fortes estava por vir, como uma onda inevitável! Eu acabei de destruir as engrenagens! Agora não tem mais volta!"
73,Donquixote Doflamingo,"O que você acha que os monstros que estão à solta, ficarem sem a ""comida"" que eu costumava fornecer irão fazer? Quem agora irá segurar as coleiras para controlá-los neste mar?"
74,Edward Newgate,"O homem que Roger está esperando, pelo menos Teach, não é você. Assim como têm aqueles que herdaram a vontade de Roger, alguém com certeza herdará a vontade de Ace! Mesmo que vocês acabem com a linhagem sanguínea dele, não tem como apagarem sua chama. Ela vem sendo passada desde os tempos antigos, e no futuro... Algum dia... Alguém vai aparecer, com toda a verdade daquela história daquele tempo em suas costas e desafiar o mundo inteiro!"
75,Edward Newgate,"Sengoku... Vocês do Governo Mundial... Todos tem medo dessa enorme guerra que vai envolver o mundo inteiro que um dia, com certeza acontecerá! Eu não importo nesta história, mas quando alguém encontrar aquele tesouro todo... O mundo vai virar de cabeça para baixo... E alguem vai encontrá-lo, esse dia com certeza vai vir. O One Piece... EXISTE!"
